,ID,Line,Condition,Path,Cyt,Mem_tot,Mem_ant,Mem_post,Dosage_af,Dosage_sub,Genotype
80,80,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/11",1820.0055431538117,3491.622920884454,609.6275657851116,10096.077323362542,2459.1725705807958,2290.811687590106,Wild type
81,81,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/12",1876.0256679634053,2501.87888281947,504.8305157432435,6984.627757571789,2265.032828487587,2304.905151117089,Wild type
82,82,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/13",2057.134297272303,3815.655049975575,627.5554611182599,9933.072147554576,2775.825467486229,3010.551975786014,Wild type
83,83,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/14",1758.6632449100553,3148.4605936300445,765.8096928557239,8741.779183423887,2365.127251732173,2258.064975112604,Wild type
84,84,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/15",1851.667042368868,3580.1307330822265,350.08081753501637,10185.897522626636,2518.808002400348,2460.5170970041263,Wild type
85,85,nwg325,11180930par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_11180930par2_tom4,15,60/16",1850.8622255633538,3261.812043801863,537.3650597453745,8945.839120834982,2449.8655155352003,2534.377649465343,Wild type
86,86,nwg325,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_wt_tom4,15,60/00",2895.599525279145,9663.37611959361,446.627779156011,22586.872326588356,4951.369860792106,6319.857663106466,Wild type
87,87,nwg325,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211118_nwg325_wt_tom4,15,60/01",3089.515985968098,9559.584531067345,1736.0800896105284,20685.72658225069,5160.736699073593,6700.901559923877,Wild type
88,88,n2,11161900ctrl,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_11161900ctrl_tom4,15,60/00",-22.063504280286455,87.87262372645245,81.71667458143011,99.08295410135571,-10.922199543339662,-35.72220719306097,N2
89,89,n2,11161900ctrl,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_11161900ctrl_tom4,15,60/03",36.18711470052824,58.1696082463706,84.07379243236241,112.19237110198202,32.85312510215035,74.30353310681221,N2
90,90,n2,11161900ctrl,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_11161900ctrl_tom4,15,60/09",52.591458096487194,33.047284246363176,68.60108289163175,2.906117051035984,41.086451912288965,-259.4975841758205,N2
91,91,n2,11161900par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_11161900par2_tom4,15,60/05",32.75225947802007,142.0895195716546,195.2149014654989,58.12495837079239,51.32506089025007,-135.3807528037987,N2
92,92,n2,11161900par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_11161900par2_tom4,15,60/06",24.413652549126137,149.2601120034924,121.20766888679228,192.04359934337305,46.87521198054001,-579.5737916064331,N2
93,93,n2,11161900par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_11161900par2_tom4,15,60/07",-57.31128059330579,56.56551111762486,130.34294408816731,-19.639345216094245,-49.83963046760388,-174.32038698117822,N2
94,94,n2,11161900par2,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_11161900par2_tom4,15,60/08",3.110326225154202,123.91728922953743,211.09547347955316,121.42774957452487,23.166836983510095,-261.8280206811128,N2
95,95,n2,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_wt_tom4,15,60/00",-54.68774723335362,-68.92140544966867,-123.86006121120404,36.827394437897894,-73.397414388972,492.78730391156387,N2
96,96,n2,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_wt_tom4,15,60/10",-22.421959456345768,71.58264113494275,-2.7751381819239818,136.36963633630012,-23.393533331584006,130.99604559316958,N2
97,97,n2,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_wt_tom4,15,60/11",-80.71336089153438,-181.01981668765373,-173.2807857128144,-165.15587969310837,-134.33694354744958,184.12082411131632,N2
98,98,n2,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/N2/211117_n2_wt_tom4,15,60/12",7.755847685503218,-67.33152275948939,-63.105892783383126,-5.471381800322059,-18.78640369566001,564.1150367185437,N2
