,ID,Line,Condition,Path,Cyt,Mem_post,Dosage_af,Dosage_sub,Genotype
10,10,nwg201,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_wt_tom4,15,60/04",3049.9773416531825,11721.563977692073,5506.529452194121,6801.018889757626,"Wild type, par-3 -/-"
11,11,nwg369,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg369_wt_tom4,15,60/00",5083.226720292353,9237.42992957829,6506.999334574607,8568.559939386807,"L109R, par-3 -/-"
12,12,nwg369,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg369_wt_tom4,15,60/01",5362.325113393889,8940.102965515387,6419.265579348202,8373.838760390861,"L109R, par-3 -/-"
13,13,nwg369,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg369_wt_tom4,15,60/02",6660.528308391758,9750.870725965975,8308.435226925401,11425.847825364513,"L109R, par-3 -/-"
14,14,nwg201,11161900par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11161900par2_tom4,15,60/00",1135.249385270021,3261.960844142292,1614.1999097879152,2130.68442983315,"Wild type, par-3 -/-"
15,15,nwg201,11161900par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11161900par2_tom4,15,60/01",856.7243676989965,978.5308020951112,901.1186499923468,1191.6612685702894,"Wild type, par-3 -/-"
16,16,nwg201,11161900par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11161900par2_tom4,15,60/02",851.6002816948201,1354.8255629560595,1075.8156900347976,1280.8534983899717,"Wild type, par-3 -/-"
17,17,nwg201,11161900par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11161900par2_tom4,15,60/03",1001.2672755688512,1575.0723637740625,1154.3216099771303,1074.7779891179798,"Wild type, par-3 -/-"
18,18,nwg201,11161900par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11161900par2_tom4,15,60/04",816.3620126459465,800.9050245921281,855.6001609187373,1283.0017575226275,"Wild type, par-3 -/-"
19,19,nwg201,11170730par2,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211117_nwg201_11170730par2_tom4,15,60/00",2603.739052725447,9052.543583490102,4262.122420612734,4939.808753113972,"Wild type, par-3 -/-"
